book_title,tagalog_bigram_sim,bikol_bigram_sim,cebuano_bigram_sim,tagalog_trigram_sim,bikol_trigram_sim,cebuano_trigam_sim,grade_level
Aaloo-Maaloo-Kaaloo___Central_Bikol,0.7202898550724638,0.7260869565217392,0.7260869565217392,0.7252964426877471,0.6897233201581028,0.6541501976284585,1
Ang_Ladybird___Central_Bikol,0.6772983114446529,0.6735459662288931,0.6397748592870544,0.5684210526315789,0.6078947368421053,0.5078947368421053,1
Ang_Pag-arog_ni_Toto_sa_saiyang_Lolo___Central_Bikol-v12022.08.25T085616,0.59375,0.546875,0.6067708333333334,0.5163636363636364,0.6,0.5018181818181818,1
Ang_Samuyang_Baka_na_Si_Pedro___Central_Bikol,0.6020761245674741,0.6470588235294118,0.5847750865051903,0.5314009661835749,0.5942028985507246,0.46859903381642515,1
Ano_ang_makangangalas_na_ginibo_ni_Ameena____Central_Bikol,0.6318681318681318,0.6373626373626373,0.6456043956043956,0.578544061302682,0.6130268199233716,0.5555555555555556,1
Ano_ta_Dai_Nagtatalubo____Central_Bikol,0.6041055718475073,0.6187683284457478,0.5909090909090909,0.5813008130081301,0.6788617886178862,0.5447154471544715,1
An_Awit_nin_Duri-duri___Central_Bikol,0.554140127388535,0.5615711252653928,0.5573248407643312,0.5082706766917293,0.5353383458646617,0.45112781954887216,1
An_Bubuyog_asin_an_Elepante___Central_Bikol,0.65,0.66875,0.65,0.5434782608695652,0.6782608695652174,0.5869565217391305,1
An_Ikus_asin_Ayam__Nyain_an_Ikus_____Central_Bikol,0.6864608076009501,0.6995249406175772,0.6888361045130641,0.672945205479452,0.7773972602739726,0.589041095890411,1
An_Kawat_ni_Mona_buda_Milo___Central_Bikol,0.674074074074074,0.6925925925925925,0.6444444444444445,0.676923076923077,0.7384615384615385,0.5282051282051282,1
An_Koneho_asin_Ayam___Central_Bikol-v12022.08.26T022028,0.6268260292164675,0.6148738379814077,0.602921646746348,0.5207207207207207,0.5927927927927928,0.4972972972972973,1
An_Lion_Nagdadalagan_asin_an_Baka_Naglalakaw___Central_Bikol,0.6132075471698113,0.6084905660377359,0.6367924528301887,0.5962732919254659,0.7453416149068323,0.5652173913043478,1
An_Magayunun_na_Aldaw___Central_Bikol,0.6799336650082919,0.681592039800995,0.6666666666666666,0.5717761557177615,0.6472019464720195,0.5571776155717761,1
An_Magbarkadang_Kasag_asin_Sira___Central_Bikol,0.5183397683397684,0.5115830115830116,0.48359073359073357,0.44733420026007803,0.552665799739922,0.4460338101430429,1
An_Mahamis_na_Mansanas___Central_Bikol,0.6823338735818476,0.6726094003241491,0.6628849270664505,0.5778781038374717,0.6613995485327314,0.5349887133182845,1
An_Makaraw_na_Millipede___Central_Bikol,0.5339105339105339,0.5151515151515151,0.5079365079365079,0.4596622889305816,0.5272045028142589,0.4333958724202627,1
