book_title,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,grade_level
Ako Si Kaliwa Ako Si Kanan.txt,0.38286713286713286,2.0576923076923075,1.8216783216783217,1.4562937062937062,0.8548951048951049,0.3269230769230769,0.26573426573426573,0.11713286713286714,0.1853146853146853,0.015734265734265736,0.0,1
Ang Halimaw ng mga Kulay_Fil_Eng.txt,0.41843971631205673,1.9822695035460993,1.6631205673758864,1.5780141843971631,0.8723404255319149,0.32269503546099293,0.25886524822695034,0.1099290780141844,0.19148936170212766,0.010638297872340425,0.0,1
Ang Mabait na Kalabaw.txt,0.22093023255813954,2.1627906976744184,1.755813953488372,1.7325581395348837,0.8837209302325582,0.19767441860465115,0.08139534883720931,0.03488372093023256,0.046511627906976744,0.0,0.0,1
Ang Pulang Laso.fil.txt,0.3956043956043956,1.9945054945054945,1.7582417582417582,1.4120879120879122,0.8791208791208791,0.37362637362637363,0.2692307692307692,0.0989010989010989,0.14285714285714285,0.03296703296703297,0.0,1
Araw Sa Palengke.txt,0.42,2.012,1.764,1.528,0.876,0.372,0.284,0.108,0.204,0.02,0.0,1
Bahay-Bahayan.fil.txt,0.2976190476190476,2.0238095238095237,1.8214285714285714,1.619047619047619,0.9642857142857143,0.23809523809523808,0.19047619047619047,0.10714285714285714,0.14285714285714285,0.023809523809523808,0.0,1
Brave Little Baby Dan.txt,0.45038167938931295,2.0559796437659035,1.633587786259542,1.470737913486005,0.7786259541984732,0.272264631043257,0.21119592875318066,0.08396946564885496,0.26208651399491095,0.005089058524173028,0.0,1
But That Wont Make Me Sleep!.txt,0.33620689655172414,1.9339080459770115,1.7729885057471264,1.396551724137931,0.8505747126436781,0.28160919540229884,0.22988505747126436,0.10057471264367816,0.15804597701149425,0.02586206896551724,0.005747126436781609,1
But That Wont Wake Me Up.txt,0.37677053824362605,1.9603399433427762,1.6487252124645893,1.3796033994334278,0.7762039660056658,0.31728045325779036,0.24079320113314448,0.09631728045325778,0.1529745042492918,0.025495750708215296,0.0,1
Ciriaco.fil.txt,0.5066666666666667,2.1733333333333333,1.8466666666666667,1.6866666666666668,0.9733333333333334,0.4266666666666667,0.29333333333333333,0.12,0.22666666666666666,0.02666666666666667,0.0,1
Gusto ko ng Buwan at mga Bituin.fil.txt,0.6018518518518519,2.037037037037037,1.8055555555555556,1.6574074074074074,0.9814814814814815,0.5092592592592593,0.3888888888888889,0.23148148148148148,0.28703703703703703,0.05555555555555555,0.0,1
Haluhalo Espesyal.txt,0.46819787985865724,1.9876325088339222,1.7243816254416962,1.4929328621908127,0.8904593639575972,0.37985865724381623,0.29328621908127206,0.13250883392226148,0.20848056537102475,0.03180212014134275,0.0035335689045936395,1
Hating Kapatid.txt,0.3913690476190476,1.9538690476190477,1.7142857142857142,1.4107142857142858,0.8333333333333334,0.3541666666666667,0.25595238095238093,0.08482142857142858,0.13839285714285715,0.023809523809523808,0.0,1
Isang Mayang Uhaw.txt,0.2654320987654321,1.9135802469135803,1.5185185185185186,1.3950617283950617,0.7222222222222222,0.25308641975308643,0.1111111111111111,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.0,1
Isang Taon na si Beth.txt,0.525,1.9625,1.6125,1.4625,0.8375,0.475,0.3875,0.0875,0.1625,0.0125,0.0,1
Kain Kumain Kinain.fil.txt,0.4482758620689655,2.103448275862069,1.8793103448275863,1.9137931034482758,1.0517241379310345,0.39655172413793105,0.2413793103448276,0.08620689655172414,0.10344827586206896,0.017241379310344827,0.0,1
